EllipObject 16640, PlaneEdges 544( V 544, P 0 )
 -> Valid edges : 
   v 280 : 1.41407e-16
   v 281 : 5.11144e-10
   v 282 : 1.86753e-10
   v 283 : 5.99435e-10
   v 284 : 1.41407e-16
   v 285 : 5.11144e-10
   v 286 : 1.86753e-10
   v 287 : 5.99435e-10
   v 288 : 1.41407e-16
   v 289 : 5.11144e-10
   v 290 : 1.86753e-10
   v 291 : 5.99435e-10
   v 292 : 1.41407e-16
   v 293 : 5.11144e-10
   v 294 : 1.86753e-10
   v 295 : 5.99435e-10
   v 296 : 1.41407e-16
   v 297 : 5.11144e-10
   v 298 : 1.86753e-10
   v 299 : 5.99435e-10
   v 300 : 1.41407e-16
   v 301 : 5.11144e-10
   v 302 : 1.86753e-10
   v 303 : 5.99435e-10
   v 304 : 1.41407e-16
   v 305 : 5.11144e-10
   v 306 : 1.86753e-10
   v 307 : 5.99435e-10
   v 308 : 1.41407e-16
   v 309 : 5.11144e-10
   v 310 : 1.86753e-10
   v 311 : 5.99435e-10
   v 312 : 1.41407e-16
   v 313 : 5.11144e-10
   v 314 : 1.86753e-10
   v 315 : 5.99435e-10
   v 316 : 1.41407e-16
   v 317 : 5.11144e-10
   v 318 : 1.86753e-10
   v 319 : 5.99435e-10
   v 320 : 1.41407e-16
   v 321 : 5.11144e-10
   v 322 : 1.86753e-10
   v 323 : 5.99435e-10
   v 324 : 1.41407e-16
   v 325 : 5.11144e-10
   v 326 : 1.86753e-10
   v 327 : 5.99435e-10
   v 328 : 1.41407e-16
   v 329 : 5.11144e-10
   v 330 : 1.86753e-10
   v 331 : 5.99435e-10
   v 332 : 1.41407e-16
   v 333 : 5.11144e-10
   v 334 : 1.86753e-10
   v 335 : 5.99435e-10
   v 336 : 1.41407e-16
   v 337 : 5.11144e-10
   v 338 : 1.86753e-10
   v 339 : 5.99435e-10
   v 340 : 1.41407e-16
   v 341 : 5.11144e-10
   v 342 : 1.86753e-10
   v 343 : 5.99435e-10
   v 344 : 1.41407e-16
   v 345 : 5.11144e-10
   v 346 : 1.86753e-10
   v 347 : 5.99435e-10
   v 348 : 1.41407e-16
   v 349 : 5.11144e-10
   v 350 : 1.86753e-10
   v 351 : 5.99435e-10
   v 352 : 1.41407e-16
   v 353 : 5.11144e-10
   v 354 : 1.86753e-10
   v 355 : 5.99435e-10
   v 356 : 1.41407e-16
   v 357 : 5.11144e-10
   v 358 : 1.86753e-10
   v 359 : 5.99435e-10
   v 360 : 1.41407e-16
   v 361 : 5.11144e-10
   v 362 : 1.86753e-10
   v 363 : 5.99435e-10
   v 364 : 1.41407e-16
   v 365 : 5.11144e-10
   v 366 : 1.86753e-10
   v 367 : 5.99435e-10
   v 368 : 1.41407e-16
   v 369 : 5.11144e-10
   v 370 : 1.86753e-10
   v 371 : 5.99435e-10
   v 372 : 1.41407e-16
   v 373 : 5.11144e-10
   v 374 : 1.86753e-10
   v 375 : 5.99435e-10
   v 376 : 1.41407e-16
   v 377 : 5.11144e-10
   v 378 : 1.86753e-10
   v 379 : 5.99435e-10
   v 380 : 1.41407e-16
   v 381 : 5.11144e-10
   v 382 : 1.86753e-10
   v 383 : 5.99435e-10
   v 384 : 1.41407e-16
   v 385 : 5.11144e-10
   v 386 : 1.86753e-10
   v 387 : 5.99435e-10
   v 388 : 1.41407e-16
   v 389 : 5.11144e-10
   v 390 : 1.86753e-10
   v 391 : 5.99435e-10
   v 392 : 1.41407e-16
   v 393 : 5.11144e-10
   v 394 : 1.86753e-10
   v 395 : 5.99435e-10
   v 396 : 1.41407e-16
   v 397 : 5.11144e-10
   v 398 : 1.86753e-10
   v 399 : 5.99435e-10
   v 400 : 1.41407e-16
   v 401 : 5.11144e-10
   v 402 : 1.86753e-10
   v 403 : 5.99435e-10
   v 404 : 1.41407e-16
   v 405 : 5.11144e-10
   v 406 : 1.86753e-10
   v 407 : 5.99435e-10
   v 408 : 1.41407e-16
   v 409 : 5.11144e-10
   v 410 : 1.86753e-10
   v 411 : 5.99435e-10
   v 412 : 1.41407e-16
   v 413 : 5.11144e-10
   v 414 : 1.86753e-10
   v 415 : 5.99435e-10
   v 416 : 1.41407e-16
   v 417 : 5.11144e-10
   v 418 : 1.86753e-10
   v 419 : 5.99435e-10
   v 420 : 1.41407e-16
   v 421 : 5.11144e-10
   v 422 : 1.86753e-10
   v 423 : 5.99435e-10
   v 424 : 1.41407e-16
   v 425 : 5.11144e-10
   v 426 : 1.86753e-10
   v 427 : 5.99435e-10
   v 428 : 1.41407e-16
   v 429 : 5.11144e-10
   v 430 : 1.86753e-10
   v 431 : 5.99435e-10
   v 432 : 1.41407e-16
   v 433 : 5.11144e-10
   v 434 : 1.86753e-10
   v 435 : 5.99435e-10
   v 436 : 1.41407e-16
   v 437 : 5.11144e-10
   v 438 : 1.86753e-10
   v 439 : 5.99435e-10
   v 440 : 1.41407e-16
   v 441 : 5.11144e-10
   v 442 : 1.86753e-10
   v 443 : 5.99435e-10
   v 444 : 1.41407e-16
   v 445 : 5.11144e-10
   v 446 : 1.86753e-10
   v 447 : 5.99435e-10
   v 448 : 1.41407e-16
   v 449 : 5.11144e-10
   v 450 : 1.86753e-10
   v 451 : 5.99435e-10
   v 452 : 1.41407e-16
   v 453 : 5.11144e-10
   v 454 : 1.86753e-10
   v 455 : 5.99435e-10
   v 456 : 1.41407e-16
   v 457 : 5.11144e-10
   v 458 : 1.86753e-10
   v 459 : 5.99435e-10
   v 460 : 1.41407e-16
   v 461 : 5.11144e-10
   v 462 : 1.86753e-10
   v 463 : 5.99435e-10
   v 464 : 1.41407e-16
   v 465 : 5.11144e-10
   v 466 : 1.86753e-10
   v 467 : 5.99435e-10
   v 468 : 1.41407e-16
   v 469 : 5.11144e-10
   v 470 : 1.86753e-10
   v 471 : 5.99435e-10
   v 472 : 1.41407e-16
   v 473 : 5.11144e-10
   v 474 : 1.86753e-10
   v 475 : 5.99435e-10
   v 476 : 1.41407e-16
   v 477 : 5.11144e-10
   v 478 : 1.86753e-10
   v 479 : 5.99435e-10
   v 480 : 1.41407e-16
   v 481 : 5.11144e-10
   v 482 : 1.86753e-10
   v 483 : 5.99435e-10
   v 484 : 1.41407e-16
   v 485 : 5.11144e-10
   v 486 : 1.86753e-10
   v 487 : 5.99435e-10
   v 488 : 1.41407e-16
   v 489 : 5.11144e-10
   v 490 : 1.86753e-10
   v 491 : 5.99435e-10
   v 492 : 1.41407e-16
   v 493 : 5.11144e-10
   v 494 : 1.86753e-10
   v 495 : 5.99435e-10
   v 496 : 1.41407e-16
   v 497 : 5.11144e-10
   v 498 : 1.86753e-10
   v 499 : 5.99435e-10
   v 500 : 1.41407e-16
   v 501 : 5.11144e-10
   v 502 : 1.86753e-10
   v 503 : 5.99435e-10
   v 504 : 1.41407e-16
   v 505 : 5.11144e-10
   v 506 : 1.86753e-10
   v 507 : 5.99435e-10
   v 508 : 1.41407e-16
   v 509 : 5.11144e-10
   v 510 : 1.86753e-10
   v 511 : 5.99435e-10
   v 512 : 1.41407e-16
   v 513 : 5.11144e-10
   v 514 : 1.86753e-10
   v 515 : 5.99435e-10
   v 516 : 1.41407e-16
   v 517 : 5.11144e-10
   v 518 : 1.86753e-10
   v 519 : 5.99435e-10
   v 520 : 1.41407e-16
   v 521 : 5.11144e-10
   v 522 : 1.86753e-10
   v 523 : 5.99435e-10
   v 524 : 1.41407e-16
   v 525 : 5.11144e-10
   v 526 : 1.86753e-10
   v 527 : 5.99435e-10
   v 528 : 1.41407e-16
   v 529 : 5.11144e-10
   v 530 : 1.86753e-10
   v 531 : 5.99435e-10
   v 532 : 1.41407e-16
   v 533 : 5.11144e-10
   v 534 : 1.86753e-10
   v 535 : 5.99435e-10
   v 536 : 1.41407e-16
   v 537 : 5.11144e-10
   v 538 : 1.86753e-10
   v 539 : 5.99435e-10
   v 540 : 1.41407e-16
   v 541 : 5.11144e-10
   v 542 : 1.86753e-10
   v 543 : 5.99435e-10

 -> Partial edges : 

EllipObject 16641, PlaneEdges 544( V 544, P 0 )
 -> Valid edges : 
   v 0 : 4.12408e-10
   v 1 : 3.38533e-10
   v 2 : 5.18456e-10
   v 3 : 3.03605e-10
   v 4 : 4.12408e-10
   v 5 : 3.38533e-10
   v 6 : 5.18456e-10
   v 7 : 3.03605e-10
   v 8 : 4.12408e-10
   v 9 : 3.38533e-10
   v 10 : 5.18456e-10
   v 11 : 3.03605e-10
   v 12 : 4.12408e-10
   v 13 : 3.38533e-10
   v 14 : 5.18456e-10
   v 15 : 3.03605e-10
   v 16 : 4.12408e-10
   v 17 : 3.38533e-10
   v 18 : 5.18456e-10
   v 19 : 3.03605e-10
   v 20 : 4.12408e-10
   v 21 : 3.38533e-10
   v 22 : 5.18456e-10
   v 23 : 3.03605e-10
   v 24 : 4.12408e-10
   v 25 : 3.38533e-10
   v 26 : 5.18456e-10
   v 27 : 3.03605e-10
   v 28 : 4.12408e-10
   v 29 : 3.38533e-10
   v 30 : 5.18456e-10
   v 31 : 3.03605e-10
   v 32 : 4.12408e-10
   v 33 : 3.38533e-10
   v 34 : 5.18456e-10
   v 35 : 3.03605e-10
   v 36 : 4.12408e-10
   v 37 : 3.38533e-10
   v 38 : 5.18456e-10
   v 39 : 3.03605e-10
   v 40 : 4.12408e-10
   v 41 : 3.38533e-10
   v 42 : 5.18456e-10
   v 43 : 3.03605e-10
   v 44 : 4.12408e-10
   v 45 : 3.38533e-10
   v 46 : 5.18456e-10
   v 47 : 3.03605e-10
   v 48 : 4.12408e-10
   v 49 : 3.38533e-10
   v 50 : 5.18456e-10
   v 51 : 3.03605e-10
   v 52 : 4.12408e-10
   v 53 : 3.38533e-10
   v 54 : 5.18456e-10
   v 55 : 3.03605e-10
   v 56 : 4.12408e-10
   v 57 : 3.38533e-10
   v 58 : 5.18456e-10
   v 59 : 3.03605e-10
   v 60 : 4.12408e-10
   v 61 : 3.38533e-10
   v 62 : 5.18456e-10
   v 63 : 3.03605e-10
   v 64 : 4.12408e-10
   v 65 : 3.38533e-10
   v 66 : 5.18456e-10
   v 67 : 3.03605e-10
   v 68 : 4.12408e-10
   v 69 : 3.38533e-10
   v 70 : 5.18456e-10
   v 71 : 3.03605e-10
   v 72 : 4.12408e-10
   v 73 : 3.38533e-10
   v 74 : 5.18456e-10
   v 75 : 3.03605e-10
   v 76 : 4.12408e-10
   v 77 : 3.38533e-10
   v 78 : 5.18456e-10
   v 79 : 3.03605e-10
   v 80 : 4.12408e-10
   v 81 : 3.38533e-10
   v 82 : 5.18456e-10
   v 83 : 3.03605e-10
   v 84 : 4.12408e-10
   v 85 : 3.38533e-10
   v 86 : 5.18456e-10
   v 87 : 3.03605e-10
   v 88 : 4.12408e-10
   v 89 : 3.38533e-10
   v 90 : 5.18456e-10
   v 91 : 3.03605e-10
   v 92 : 4.12408e-10
   v 93 : 3.38533e-10
   v 94 : 5.18456e-10
   v 95 : 3.03605e-10
   v 96 : 4.12408e-10
   v 97 : 3.38533e-10
   v 98 : 5.18456e-10
   v 99 : 3.03605e-10
   v 100 : 4.12408e-10
   v 101 : 3.38533e-10
   v 102 : 5.18456e-10
   v 103 : 3.03605e-10
   v 104 : 4.12408e-10
   v 105 : 3.38533e-10
   v 106 : 5.18456e-10
   v 107 : 3.03605e-10
   v 108 : 4.12408e-10
   v 109 : 3.38533e-10
   v 110 : 5.18456e-10
   v 111 : 3.03605e-10
   v 112 : 4.12408e-10
   v 113 : 3.38533e-10
   v 114 : 5.18456e-10
   v 115 : 3.03605e-10
   v 116 : 4.12408e-10
   v 117 : 3.38533e-10
   v 118 : 5.18456e-10
   v 119 : 3.03605e-10
   v 120 : 4.12408e-10
   v 121 : 3.38533e-10
   v 122 : 5.18456e-10
   v 123 : 3.03605e-10
   v 124 : 4.12408e-10
   v 125 : 3.38533e-10
   v 126 : 5.18456e-10
   v 127 : 3.03605e-10
   v 128 : 4.12408e-10
   v 129 : 3.38533e-10
   v 130 : 5.18456e-10
   v 131 : 3.03605e-10
   v 132 : 4.12408e-10
   v 133 : 3.38533e-10
   v 134 : 5.18456e-10
   v 135 : 3.03605e-10
   v 136 : 4.12408e-10
   v 137 : 3.38533e-10
   v 138 : 5.18456e-10
   v 139 : 3.03605e-10
   v 140 : 4.12408e-10
   v 141 : 3.38533e-10
   v 142 : 5.18456e-10
   v 143 : 3.03605e-10
   v 144 : 4.12408e-10
   v 145 : 3.38533e-10
   v 146 : 5.18456e-10
   v 147 : 3.03605e-10
   v 148 : 4.12408e-10
   v 149 : 3.38533e-10
   v 150 : 5.18456e-10
   v 151 : 3.03605e-10
   v 152 : 4.12408e-10
   v 153 : 3.38533e-10
   v 154 : 5.18456e-10
   v 155 : 3.03605e-10
   v 156 : 4.12408e-10
   v 157 : 3.38533e-10
   v 158 : 5.18456e-10
   v 159 : 3.03605e-10
   v 160 : 4.12408e-10
   v 161 : 3.38533e-10
   v 162 : 5.18456e-10
   v 163 : 3.03605e-10
   v 164 : 4.12408e-10
   v 165 : 3.38533e-10
   v 166 : 5.18456e-10
   v 167 : 3.03605e-10
   v 168 : 4.12408e-10
   v 169 : 3.38533e-10
   v 170 : 5.18456e-10
   v 171 : 3.03605e-10
   v 172 : 4.12408e-10
   v 173 : 3.38533e-10
   v 174 : 5.18456e-10
   v 175 : 3.03605e-10
   v 176 : 4.12408e-10
   v 177 : 3.38533e-10
   v 178 : 5.18456e-10
   v 179 : 3.03605e-10
   v 180 : 4.12408e-10
   v 181 : 3.38533e-10
   v 182 : 5.18456e-10
   v 183 : 3.03605e-10
   v 184 : 4.12408e-10
   v 185 : 3.38533e-10
   v 186 : 5.18456e-10
   v 187 : 3.03605e-10
   v 188 : 4.12408e-10
   v 189 : 3.38533e-10
   v 190 : 5.18456e-10
   v 191 : 3.03605e-10
   v 192 : 4.12408e-10
   v 193 : 3.38533e-10
   v 194 : 5.18456e-10
   v 195 : 3.03605e-10
   v 196 : 4.12408e-10
   v 197 : 3.38533e-10
   v 198 : 5.18456e-10
   v 199 : 3.03605e-10
   v 200 : 4.12408e-10
   v 201 : 3.38533e-10
   v 202 : 5.18456e-10
   v 203 : 3.03605e-10
   v 204 : 4.12408e-10
   v 205 : 3.38533e-10
   v 206 : 5.18456e-10
   v 207 : 3.03605e-10
   v 208 : 4.12408e-10
   v 209 : 3.38533e-10
   v 210 : 5.18456e-10
   v 211 : 3.03605e-10
   v 212 : 4.12408e-10
   v 213 : 3.38533e-10
   v 214 : 5.18456e-10
   v 215 : 3.03605e-10
   v 216 : 4.12408e-10
   v 217 : 3.38533e-10
   v 218 : 5.18456e-10
   v 219 : 3.03605e-10
   v 220 : 4.12408e-10
   v 221 : 3.38533e-10
   v 222 : 5.18456e-10
   v 223 : 3.03605e-10
   v 224 : 4.12408e-10
   v 225 : 3.38533e-10
   v 226 : 5.18456e-10
   v 227 : 3.03605e-10
   v 228 : 4.12408e-10
   v 229 : 3.38533e-10
   v 230 : 5.18456e-10
   v 231 : 3.03605e-10
   v 232 : 4.12408e-10
   v 233 : 3.38533e-10
   v 234 : 5.18456e-10
   v 235 : 3.03605e-10
   v 236 : 4.12408e-10
   v 237 : 3.38533e-10
   v 238 : 5.18456e-10
   v 239 : 3.03605e-10
   v 240 : 4.12408e-10
   v 241 : 3.38533e-10
   v 242 : 5.18456e-10
   v 243 : 3.03605e-10
   v 244 : 4.12408e-10
   v 245 : 3.38533e-10
   v 246 : 5.18456e-10
   v 247 : 3.03605e-10
   v 248 : 4.12408e-10
   v 249 : 3.38533e-10
   v 250 : 5.18456e-10
   v 251 : 3.03605e-10
   v 252 : 4.12408e-10
   v 253 : 3.38533e-10
   v 254 : 5.18456e-10
   v 255 : 3.03605e-10
   v 256 : 4.12408e-10
   v 257 : 3.38533e-10
   v 258 : 5.18456e-10
   v 259 : 3.03605e-10
   v 260 : 4.12408e-10
   v 261 : 3.38533e-10
   v 262 : 5.18456e-10
   v 263 : 3.03605e-10
   v 264 : 4.12408e-10
   v 265 : 3.38533e-10
   v 266 : 5.18456e-10
   v 267 : 3.03605e-10
   v 268 : 4.12408e-10
   v 269 : 3.38533e-10
   v 270 : 5.18456e-10
   v 271 : 3.03605e-10
   v 272 : 4.12408e-10
   v 273 : 3.38533e-10
   v 274 : 5.18456e-10
   v 275 : 3.03605e-10
   v 276 : 4.12408e-10
   v 277 : 3.38533e-10
   v 278 : 5.18456e-10
   v 279 : 3.03605e-10
   v 280 : 4.12408e-10
   v 281 : 3.38533e-10
   v 282 : 5.18456e-10
   v 283 : 3.03605e-10
   v 284 : 4.12408e-10
   v 285 : 3.38533e-10
   v 286 : 5.18456e-10
   v 287 : 3.03605e-10
   v 288 : 4.12408e-10
   v 289 : 3.38533e-10
   v 290 : 5.18456e-10
   v 291 : 3.03605e-10
   v 292 : 4.12408e-10
   v 293 : 3.38533e-10
   v 294 : 5.18456e-10
   v 295 : 3.03605e-10
   v 296 : 4.12408e-10
   v 297 : 3.38533e-10
   v 298 : 5.18456e-10
   v 299 : 3.03605e-10
   v 300 : 4.12408e-10
   v 301 : 3.38533e-10
   v 302 : 5.18456e-10
   v 303 : 3.03605e-10
   v 304 : 4.12408e-10
   v 305 : 3.38533e-10
   v 306 : 5.18456e-10
   v 307 : 3.03605e-10
   v 308 : 4.12408e-10
   v 309 : 3.38533e-10
   v 310 : 5.18456e-10
   v 311 : 3.03605e-10
   v 312 : 4.12408e-10
   v 313 : 3.38533e-10
   v 314 : 5.18456e-10
   v 315 : 3.03605e-10
   v 316 : 4.12408e-10
   v 317 : 3.38533e-10
   v 318 : 5.18456e-10
   v 319 : 3.03605e-10
   v 320 : 4.12408e-10
   v 321 : 3.38533e-10
   v 322 : 5.18456e-10
   v 323 : 3.03605e-10
   v 324 : 4.12408e-10
   v 325 : 3.38533e-10
   v 326 : 5.18456e-10
   v 327 : 3.03605e-10
   v 328 : 4.12408e-10
   v 329 : 3.38533e-10
   v 330 : 5.18456e-10
   v 331 : 3.03605e-10
   v 332 : 4.12408e-10
   v 333 : 3.38533e-10
   v 334 : 5.18456e-10
   v 335 : 3.03605e-10
   v 336 : 4.12408e-10
   v 337 : 3.38533e-10
   v 338 : 5.18456e-10
   v 339 : 3.03605e-10
   v 340 : 4.12408e-10
   v 341 : 3.38533e-10
   v 342 : 5.18456e-10
   v 343 : 3.03605e-10
   v 344 : 4.12408e-10
   v 345 : 3.38533e-10
   v 346 : 5.18456e-10
   v 347 : 3.03605e-10
   v 348 : 4.12408e-10
   v 349 : 3.38533e-10
   v 350 : 5.18456e-10
   v 351 : 3.03605e-10
   v 352 : 4.12408e-10
   v 353 : 3.38533e-10
   v 354 : 5.18456e-10
   v 355 : 3.03605e-10
   v 356 : 4.12408e-10
   v 357 : 3.38533e-10
   v 358 : 5.18456e-10
   v 359 : 3.03605e-10
   v 360 : 4.12408e-10
   v 361 : 3.38533e-10
   v 362 : 5.18456e-10
   v 363 : 3.03605e-10
   v 364 : 4.12408e-10
   v 365 : 3.38533e-10
   v 366 : 5.18456e-10
   v 367 : 3.03605e-10
   v 368 : 4.12408e-10
   v 369 : 3.38533e-10
   v 370 : 5.18456e-10
   v 371 : 3.03605e-10
   v 372 : 4.12408e-10
   v 373 : 3.38533e-10
   v 374 : 5.18456e-10
   v 375 : 3.03605e-10
   v 376 : 4.12408e-10
   v 377 : 3.38533e-10
   v 378 : 5.18456e-10
   v 379 : 3.03605e-10
